0,1,2,3,4,5,6
建湖东路204国道,31.490958,121.074649,太仓111路;太仓123路;太仓206路;太仓210路,null,null,0
耐克物流,31.488204,121.086122,太仓129路,null,null,0
运政中心,31.47757,121.08781,太仓111路;太仓123路;太仓124路;太仓206路;太仓210路,null,null,0
京仓大桥,31.480217,121.090984,太仓111路,null,null,0
龙庆家庭,31.480345,121.091455,太仓111路,null,null,0
东新,31.471014,121.090471,太仓123路;太仓124路;太仓206路;太仓210路,null,null,0
城北花园西门,31.472887,121.09947,太仓105路;太仓111路;太仓125路;太仓212路夜班,null,null,0
毛太路北京路,31.484562,121.097253,太仓205路;太仓401路,null,null,0
华盛二园,31.47008,121.100599,太仓105路;太仓111路;太仓125路;太仓202路;太仓203路;太仓203路a线;太仓207路;太仓212路夜班,null,null,0
城北花园北门,31.476622,121.102845,太仓105路;太仓111路;太仓125路;太仓203路a线;太仓207路;太仓212路夜班,null,null,0
创业园,31.484752,121.099986,太仓111路,null,null,0
太仓车站公交枢纽,31.480231,121.103009,太仓103路;太仓105路;太仓125路,null,null,0
创业园太平路,31.483942,121.1022,太仓101路;太仓129路;太仓212路夜班,null,null,0
太仓车站,31.477733,121.104933,太仓101路;太仓102路;太仓105路;太仓111路;太仓113路;太仓116路;太仓121路;太仓202路;太仓203路;太仓203路a线;太仓204路;太仓205路;太仓206路;太仓207路;太仓208路;太仓213路;太仓401路,null,null,0
太仓车站(站内),31.477734,121.104956,太仓207路,null,null,0
青岛路,31.488975,121.098286,太仓213路,null,null,0
太仓汽车站,31.479842,121.1053,机场巴士太仓浦东机场线,null,null,0
车站,31.479373,121.105768,太仓111路;太仓115路;太仓129路;太仓212路夜班,null,null,0
顾港路,31.460379,121.092797,太仓108路;太仓123路;太仓124路;太仓206路;太仓210路,null,null,0
顾港路,31.460278,121.092676,太仓108路,null,null,0
太平北路,31.491815,121.095954,太仓101路;太仓129路,null,null,0
青岛东路,31.490603,121.099746,太仓204路;太仓205路;太仓212路夜班;太仓401路,null,null,0
锦琪工业,31.48706,121.104546,太仓115路,null,null,0
彩虹天下,31.465132,121.104593,太仓105路;太仓111路;太仓125路;太仓202路;太仓203路;太仓203路a线;太仓207路;太仓212路夜班,null,null,0
万鸿房产弇山路,31.459257,121.096783,太仓108路;太仓123路;太仓210路,null,null,0
古塘街,31.461979,121.101842,太仓123路;太仓210路,null,null,0
公路管理处,31.458885,121.099248,太仓108路;太仓117路,null,null,0
仁慈医院,31.462916,121.106264,太仓105路;太仓111路;太仓115路;太仓125路;太仓202路;太仓203路;太仓203路a线;太仓207路;太仓212路夜班,null,null,0
华盛园,31.475398,121.108943,太仓101路;太仓102路;太仓113路;太仓115路;太仓116路;太仓121路;太仓129路;太仓206路;太仓208路,null,null,0
太平路,31.474336,121.109744,太仓208路,null,null,0
大成工业园,31.47984,121.10916,太仓103路,null,null,0
洋沙五村,31.470093,121.112976,太仓101路;太仓102路;太仓113路;太仓115路;太仓121路;太仓129路;太仓206路,null,null,0
舍弗勒,31.476111,121.116207,太仓103路;太仓208路,null,null,0
外环路,31.474725,121.116631,太仓103路,null,null,0
托克斯,31.482603,121.114599,太仓103路,null,null,0
洋沙雅苑,31.467935,121.112988,太仓115路,null,null,0
洋沙五村弇山路站,31.469515,121.115747,太仓116路,null,null,0
桃园菜场,31.466083,121.109477,太仓115路,null,null,0
通达银座,31.468139,121.114399,太仓101路;太仓102路;太仓113路;太仓121路;太仓129路;太仓206路,null,null,0
东仓路弇山路站,31.470936,121.118101,太仓116路,null,null,0
洋沙一村,31.466111,121.114561,太仓106路,null,null,0
东仓路,31.470964,121.119513,太仓103路,null,null,0
和路雪,31.468292,121.118068,太仓106路,null,null,0
桃园三村,31.464341,121.111947,太仓106路,null,null,0
洋沙六村,31.473015,121.121492,太仓116路,null,null,0
桃园小区,31.462087,121.107988,太仓106路,null,null,0
东仓路洛阳路,31.470881,121.122566,太仓106路,null,null,0
东泰合成,31.490462,121.111335,太仓115路,null,null,0
消防队,31.471294,121.123259,太仓106路,null,null,0
太平路郑和路,31.46432,121.117286,太仓101路;太仓102路;太仓113路;太仓121路;太仓129路,null,null,0
花园酒店,31.460969,121.107812,太仓105路;太仓106路;太仓111路;太仓115路;太仓123路;太仓125路;太仓202路;太仓203路;太仓203路a线;太仓207路;太仓210路;太仓212路夜班,null,null,0
通快机床,31.485676,121.120594,太仓103路,null,null,0
郑和路太平路西,31.463006,121.116739,太仓202路;太仓203路;太仓203路a线;太仓206路;太仓207路,null,null,0
郑和路太平东路,31.463805,121.118918,太仓113路,null,null,0
小北门,31.459867,121.11059,太仓102路;太仓202路;太仓203路;太仓203路a线;太仓206路;太仓207路,null,null,0
中昱科技园,31.480358,121.125052,太仓103路;太仓208路,null,null,0
郑和路太平路东,31.464415,121.120077,太仓113路;太仓202路;太仓203路;太仓203路a线;太仓207路,null,null,0
人民路,31.459618,121.10885,太仓202路;太仓203路;太仓203路a线;太仓207路,null,null,0
东昌大厦东仓路,31.467064,121.122897,太仓103路,null,null,0
花园二村,31.465202,121.122035,太仓113路,null,null,0
协鑫电厂洛阳路,31.473004,121.126439,太仓106路,null,null,0
协鑫电厂弇山路站,31.475802,121.127483,太仓116路,null,null,0
北门郑和路,31.45826,121.108007,太仓123路;太仓125路;太仓206路,null,null,0
东昌大厦郑和路,31.466178,121.124157,太仓109路;太仓203路;太仓203路a线,null,null,0
阳光花园,31.458411,121.112991,太仓102路,null,null,0
向阳路,31.460784,121.119267,太仓101路;太仓121路;太仓129路,null,null,0
莱茵广场,31.493154,121.11672,太仓115路,null,null,0
明德高中,31.464989,121.124789,太仓103路;太仓109路;太仓113路;太仓201路;太仓202路;太仓207路,null,null,0
向阳小区,31.45951,121.118014,太仓126路,null,null,0
太平新村,31.461525,121.121915,太仓126路,null,null,0
花园一村,31.463309,121.12426,太仓126路,null,null,0
克恩里伯斯,31.488843,121.126754,太仓103路,null,null,0
老年大学,31.458865,121.122905,太仓103路;太仓125路,null,null,0
三院,31.462367,121.12726,太仓103路;太仓109路;太仓113路;太仓126路,null,null,0
青少年活动中心县府路,31.460789,121.127149,太仓103路;太仓125路,null,null,0
东亭路洛阳路,31.473938,121.128813,太仓106路,null,null,0
梅花园,31.475602,121.132954,太仓106路,null,null,0
梅花二园,31.47845,121.133365,太仓116路,null,null,0
东郊,31.468425,121.129407,太仓109路;太仓201路;太仓203路;太仓203路a线,null,null,0
特灵,31.483501,121.131693,太仓103路;太仓208路,null,null,0
华东汽贸,31.470712,121.135422,太仓109路;太仓201路;太仓203路;太仓203路a线,null,null,0
娄江路弇山路站,31.479201,121.137854,太仓116路,null,null,0
娄江北路,31.476764,121.139449,太仓116路,null,null,0
娄江路洛阳路,31.478477,121.140195,太仓106路,null,null,0
雅鹿臻园,31.473094,121.14182,太仓116路,null,null,0
交警大队,31.488671,121.131282,太仓103路,null,null,0
市政府县府路站,31.465405,121.13721,太仓107路;太仓126路,null,null,0
实验中学,31.462129,121.130094,太仓107路;太仓115路;太仓126路,null,null,0
常胜路,31.486431,121.137616,太仓208路,null,null,0
娄江路,31.472043,121.143144,太仓109路;太仓203路;太仓203路a线,null,null,0
青少年中心,31.461169,121.128389,太仓202路,null,null,0
裕盛鞋厂,31.479825,121.143227,太仓106路,null,null,0
锦园旅游,31.483335,121.141786,太仓106路;太仓207路,null,null,0
新区中学,31.485411,121.1403,太仓106路;太仓207路,null,null,0
洛阳东路,31.480295,121.143644,太仓106路,null,null,0
青少年活动中心,31.460709,121.128822,太仓109路;太仓113路;太仓201路;太仓207路,null,null,0
盛达服饰,31.481433,121.143339,太仓106路;太仓207路,null,null,0
金海湾,31.479309,121.144805,太仓207路,null,null,0
娄江路县府东路站,31.469858,121.144127,太仓116路,null,null,0
娄江路县府街站,31.469728,121.144225,太仓201路,null,null,0
政务服务中心,31.461585,121.13592,太仓115路,null,null,0
万达广场,31.465869,121.142775,太仓107路,null,null,0
风莲小区,31.488089,121.140694,太仓207路,null,null,0
凤莲小区,31.4881,121.14072,太仓106路,null,null,0
开发大厦东仓路,31.458224,121.131194,太仓107路;太仓109路;太仓113路;太仓115路;太仓125路;太仓201路;太仓202路;太仓207路,null,null,0
市政府上海路,31.461488,121.139572,太仓115路;太仓128路;太仓202路;太仓207路;太仓211路夜班,null,null,0
万达广场娄江路站,31.467493,121.145954,太仓116路;太仓201路,null,null,0
万达广场北,31.467509,121.145955,太仓126路,null,null,0
开发大厦,31.458225,121.133946,太仓128路,null,null,0
开发大厦上海路,31.458114,121.133751,太仓211路夜班,null,null,0
万达广场南,31.463994,121.143941,太仓115路;太仓128路;太仓202路;太仓207路;太仓211路夜班,null,null,0
长寿路,31.49136,121.141473,太仓106路,null,null,0
五洲路,31.49268,121.140593,太仓106路,null,null,0
苏州路兴业路,31.490537,121.144849,太仓207路;太仓208路,null,null,0
兴业路苏州路,31.490808,121.145218,太仓203路;太仓203路a线,null,null,0
北门,31.457997,121.110153,太仓105路;太仓106路;太仓111路;太仓115路;太仓210路;太仓212路夜班,null,null,0
